participant_id	stim_no	question_no	numberofanswers	answers	correct_answers	score
sub-01	1	1	1	4	1	0
sub-01	1	2	1	1	1	1
sub-01	1	3	3	3  2  1	1  2  3	1
sub-01	1	4	1	1	1	1
sub-01	1	5	1	1	1	1
sub-01	1	6	1	1	1	1
sub-01	1	7	1	2	1	0
sub-01	1	8	1	1	1	1
sub-01	1	9	2	1  2	1  2	1
sub-01	1	10	1	1	1	1
sub-01	1	11	3	2  3  1	1  2  3	1
sub-01	1	12	4	2  3  4	1  2  3  4	0.75
sub-01	2	1	1	1	1	1
sub-01	2	2	3	2	1  2  3	0.333333333333333
sub-01	2	3	1	1	1	1
sub-01	2	4	1	4	1	0
sub-01	2	5	1	2	1	0
sub-01	2	6	1	1	1	1
sub-01	2	7	1	1	1	1
sub-01	2	8	2	2	1  2	0.5
sub-01	2	9	1	1	1	1
sub-01	2	10	1	3	1	0
sub-01	2	11	1	1	1	1
sub-01	2	12	3	1	1  2  3	0.333333333333333
sub-01	3	1	1	1	1	1
sub-01	3	2	3	1  3  2	1  2  3	1
sub-01	3	3	1	1	1	1
sub-01	3	5	1	3	1	0
sub-01	3	6	1	1	1	1
sub-01	3	7	1	1	1	1
sub-01	3	8	3	1  2	1  2  3	0.666666666666667
sub-01	3	9	1	1	1	1
sub-01	3	10	1	1	1	1
sub-01	3	11	1	1	1	1
sub-01	3	11	1	2	1	0
sub-01	3	12	1	3	1	0
sub-01	4	1	3	3	1  2  3	0.333333333333333
sub-01	4	2	1	1	1	1
sub-01	4	3	1	3	1	0
sub-01	4	4	1	1	1	1
sub-01	4	5	1	1	1	1
sub-01	4	6	1	1	1	1
sub-01	4	7	2	1	1  2	0.5
sub-01	4	8	1	4	1	0
sub-01	4	9	1	1	1	1
sub-01	4	10	1	1	1	1
sub-01	4	11	1	1	1	1
sub-01	4	12	1	3	1	0
sub-01	5	1	3	1  2  3	1  2  3	1
sub-01	5	2	1	1	1	1
sub-01	5	3	1	1	1	1
sub-01	5	4	1	1	1	1
sub-01	5	5	1	2	1	0
sub-01	5	6	1	1	1	1
sub-01	5	7	2	3	1  2	0
sub-01	5	8	1	4	1	0
sub-01	5	9	1	1	1	1
sub-01	5	10	1	3	1	0
sub-01	5	11	2	3  1  2	1  2	1
sub-01	5	12	2	2	1  2	0.5
sub-01	6	1	1	4	1	0
sub-01	6	2	3	4  3  2  1	1  2  3	1
sub-01	6	3	1	1	1	1
sub-01	6	4	1	1	1	1
sub-01	6	5	1	3	1	0
sub-01	6	6	1	1	1	1
sub-01	6	7	2	2  1	1  2	1
sub-01	6	8	1	2	1	0
sub-01	6	9	1	1	1	1
sub-01	6	10	1	4	1	0
sub-01	6	11	2	2  4  1	1  2	1
sub-01	6	12	2	4  1	1  2	0.5
sub-02	1	1	1	3	1	0
sub-02	1	2	1	2	1	0
sub-02	1	3	3	3  2	1  2  3	0.666666666666667
sub-02	1	4	1	1	1	1
sub-02	1	5	1	4	1	0
sub-02	1	6	1	1	1	1
sub-02	1	7	1	2	1	0
sub-02	1	8	1	1	1	1
sub-02	1	9	2	2  1  4	1  2	1
sub-02	1	10	1	1	1	1
sub-02	1	11	3	1  4	1  2  3	0.333333333333333
sub-02	1	12	4	4  1	1  2  3  4	0.5
sub-02	2	1	1	4	1	0
sub-02	2	2	3	1  3  2	1  2  3	1
sub-02	2	3	1	2	1	0
sub-02	2	4	1	2	1	0
sub-02	2	5	1	3	1	0
sub-02	2	6	1	2	1	0
sub-02	2	7	1	1	1	1
sub-02	2	8	2	2  3	1  2	0.5
sub-02	2	9	1	4	1	0
sub-02	2	10	1	2	1	0
sub-02	2	11	1	3	1	0
sub-02	2	12	3	2  1  4	1  2  3	0.666666666666667
sub-02	3	1	1	1	1	1
sub-02	3	2	3	4  1  2	1  2  3	0.666666666666667
sub-02	3	3	1	1	1	1
sub-02	3	4	1	2	1	0
sub-02	3	5	1	3	1	0
sub-02	3	6	1	2	1	0
sub-02	3	7	1	1	1	1
sub-02	3	8	3	1  2	1  2  3	0.666666666666667
sub-02	3	9	1	1	1	1
sub-02	3	10	1	1	1	1
sub-02	3	11	1	2	1	0
sub-02	3	12	1	1	1	1
sub-02	4	1	3	1  2	1  2  3	0.666666666666667
sub-02	4	2	1	4	1	0
sub-02	4	3	1	4	1	0
sub-02	4	4	1	1	1	1
sub-02	4	5	1	1	1	1
sub-02	4	6	1	1	1	1
sub-02	4	7	2	3	1  2	0
sub-02	4	8	1	2	1	0
sub-02	4	9	1	1	1	1
sub-02	4	10	1	1	1	1
sub-02	4	11	1	1	1	1
sub-02	4	12	1	4	1	0
sub-02	5	1	3	1  3  4  2	1  2  3	1
sub-02	5	2	1	1	1	1
sub-02	5	3	1	3	1	0
sub-02	5	4	1	2	1	0
